Antonym,Derived word,ex_japa,example,japanese,level,No,part of speech,Synonym,word,unique id
home,"camper, campground",私たちは去年、夏のキャンプに行きた。,We went to a summer camp last year.,キャンプ,2,174,名詞,"encampment, bivouac",camp,1752129508462x980991999825589600
,"graphic, graphics",グラフは年々の人口増加を示している。,The graph shows the increase in population over the years.,グラフ,2,182,名詞,"chart, diagram",graph,1752129508464x308755940575869950
,,電力網は嵐によって損傷を受けた。,The power grid was damaged by the storm.,グリッド、格子,2,186,名詞,"network, matrix",grid,1752129508464x402992714025464300
"soap, cleanser","creamy, creamed",彼女は寝る前に顔にクリームを塗りた。,She put cream on her face before going to bed.,クリーム,1,184,名詞,"lotion, ointment",cream,1752129508464x493672008196452740
,kilogram,このパッケージは250グラムの重さだ。,This package weighs 250 grams.,グラム,3,183,名詞,,gram,1752129508464x767462659895189000
"unfasten, detach","clipboard, hairclip",彼女はヘアピンで髪をクリップした。,She clipped her hair up with a hairpin.,クリップ,2,187,"名詞, 動詞","fasten, attach, cut",clip,1752129508464x846619517308306700
,"clubhouse, clubber",彼はゴルフクラブに入った。,He joined a golf club.,クラブ,1,181,名詞,"society, association",club,1752129508464x890164230419386600
individual,"grouping, grouped",私たちはプロジェクトのためにグループで働きた。,We worked in groups for the project.,グループ,2,188,名詞,"team, band",group,1752129508464x897395175964263000
"release, unclick","clickable, clicker",ボタンをクリックして答えを提出する。,Click the button to submit your answer.,クリックする,2,185,動詞,"press, tap",click,1752129508464x995751293814383700
"localization, nationalization","globalize, globalized, globally",グローバル化により、世界は一つの小さな場所になった。,Globalization has made the world a smaller place.,グローバル化,7,189,名詞,"internationalization, world-wide integration",globalization,1752129508465x434979953973141800
,cloning,科学者たちは数年前から動物をクローン化することができるようになった。,Scientists have been able to clone animals for several years now.,クローン,3,190,"名詞, 動詞","replicate, duplicate, copy",clone,1752129508465x873023430641039600
heterosexual,"gayness, gay-friendly",彼は自分の家族にゲイであることを打ち明けた。,He came out as gay to his family.,ゲイ,7,191,形容詞,homosexual,gay,1752129508466x225477954042869100
"host, resident","guesthouse, guestroom",今週末、我々のところにゲストが泊まりに来ている。,We have a guest staying with us this weekend.,ゲスト、客,2,194,名詞,"visitor, invitee",guest,1752129508466x231504328010554000
"end, destination","coursework, discourse",川のコースが変わった。,The course of the river has changed.,コース、進路,2,195,名詞,"path, route, direction",course,1752129508466x630710566188098300
work,"games, gamed, gaming",私はビデオゲームをするのが大好きだ。,I love playing video games.,ゲーム,1,193,名詞,"sport, play, match",game,1752129508466x676474514076478500
wireless,"cabled, cabling",ケーブルが絡まっている。,The cable is tangled up.,ケーブル,2,192,名詞,"wire, cord",cable,1752129508466x695961713613411100
,coating,彼女は外出する前にコートを着た。,She put on her coat before going out.,コート、外套,2,198,名詞,"jacket, overcoat",coat,1752129508467x214736621814855200
"plain text, unencrypted data","encode, decode",ドアを解錠するにはコードを入力する必要がある。,You need to enter the code to unlock the door.,コード,2,197,名詞,"cipher, key, system",code,1752129508467x460119694689276500
,,英文学のコーパスを分析する。,We will analyze the corpus of English literature.,コーパス,9,199,名詞,"body, collection",corpus,1752129508467x498525276518515500
,"coaching, coachman",彼はフットボールのコーチだ。,He is a football coach.,コーチ,2,196,名詞,"trainer, mentor, instructor",coach,1752129508467x812348793231429900
,"coffeehouse, coffeemaker",私は一日をコーヒー一杯で始めるのが好きだ。,I like to start my day with a cup of coffee.,コーヒー,1,200,名詞,"java, brew",coffee,1752129508467x993703768100673300
original,"copier, copycat, copying",私はこのドキュメントを会議のためにコピーする必要がある。,I need to copy this document for the meeting.,コピーする,2,204,動詞,"duplicate, replicate, clone",copy,1752129509150x282325986719049950
"smooth, soothe","rubbing, rubbed",ローションを肌にこすり込んでください。,Rub the lotion into your skin.,こする,2,202,動詞,"scrub, scrape",rub,1752129509150x345593482588950850
"disinterest, apathy","commit, committal",彼はプロジェクトに対する強いコミットメントを示している。,He has shown a strong commitment to the project.,コミットメント、約束,6,205,名詞,"dedication, obligation, engagement",commitment,1752129509150x463978548239325500
there,"hereby, hereafter",ここに座ってください。,"Please, sit here.",ここに,1,201,副詞,in this place,here,1752129509150x520762359466017540
"miscommunication, silence, noncommunication","communicate, communicator, communicative",良好なコミュニケーションは、成功するチームにとって重要だ。,Good communication is key to a successful team.,コミュニケーション,4,206,名詞,"interaction, exchange, dialogue",communication,1752129509150x726496186561955700
,"connect, connection",この機器を接続するには特別なコネクタが必要だ。,You need a special connector to hook up this equipment.,コネクタ、接続器,5,203,名詞,"adapter, link, joiner",connector,1752129509150x932010165198917600
,"community center, community service",彼は地元のコミュニティで非常に活動的だ。,He is very active in his local community.,コミュニティ,4,208,名詞,"society, group, neighborhood",community,1752129509151x165980986590202660
tragedy,"comedic, comedian",彼はよく知られたコメディ俳優だ。,He is a well-known comedy actor.,コメディ,2,210,名詞,"humor, farce",comedy,1752129509151x245089455720023400
,binful,ゴミをゴミ箱に捨ててください。,Please throw the garbage in the bin.,ゴミ箱,1,209,名詞,"trash can, wastebasket",bin,1752129509151x291856672023618900
"uncommunicative, introverted","communicate, communication, communicator",彼女はとてもコミュニケーションが得意で、話すのが大好きだ。,She is very communicative and loves to chat.,コミュニケーションの,5,207,形容詞,"talkative, expressive",communicative,1752129509151x337652587415862000
that,,私はこの本が好きだ。,I like this book.,これ,1,212,代名詞,,this,1752129509152x176385109805027970
"dispersion, scattering","collector, collectible, collected",彼はビンテージカーの印象的なコレクションを持っている。,He has an impressive collection of vintage cars.,コレクション,4,213,名詞,"accumulation, assortment, compilation",collection,1752129509152x249373211726800600
silence,"commentary, commentator",彼女は私のブログ投稿にコメントを残した。,She left a comment on my blog post.,コメント,2,211,"名詞, 動詞","remark, note, observation",comment,1752129509152x493138227152978300
"cooperation, collaboration, partnership","contested, contesting",彼女はコンテストに勝ちた。,She won the contest.,コンテスト,2,216,名詞,"competition, match, game",contest,1752129509153x318987160923865900
"large, bulky","compaction, compactor",私は都市での運転にはコンパクトカーを好みる。,I prefer compact cars for city driving.,コンパクトな,3,219,形容詞,"small, tiny",compact,1752129509153x385998258656298240
goodbye,,こんにちは！お元気だか？,Hello! How are you?,こんにちは,1,218,感動詞,"hi, hey, greetings",hello,1752129509153x514401096805983800
"client, novice","consult, consultative",彼は独立したビジネスコンサルタントとして働いている。,He works as an independent business consultant.,コンサルタント、顧問,6,215,名詞,"advisor, expert",consultant,1752129509153x750991366101877000
,"concerted, concertgoer",今夜のコンサートのチケットを持っている。,I have tickets for a concert tonight.,コンサート,2,214,名詞,"performance, gig",concert,1752129509153x819951148283790800
"paper, pen","computing, computerize",私は仕事と勉強のためにコンピュータを使いる。,I use my computer for work and study.,コンピュータ,2,220,名詞,"PC, laptop",computer,1752129509153x903074148257792300
,,こんにちは、お元気だか？,"Hi, how are you?",こんにちは,1,217,感動詞,"hello, hey",hi,1752129509153x960476445049358600
,"resize, downsize",あなたは何サイズを着るか？,What size do you wear?,サイズ、大きさ,2,225,名詞,"dimension, measure, extent",size,1752129509160x120544977718506360
client,"server-side, server-based",サーバーがクラッシュし、私たちのすべてのデータを失った。,The server crashed and we lost all our data.,サーバー,7,222,名詞,"host, mainframe",server,1752129509160x228700595827193280
